KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Unie H.A.V.E.L.,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
529851,JavornÌk,"3,79 %","0,00 %","0,00 %","13,92 %","0,00 %","8,86 %","6,32 %","2,53 %","1,26 %","0,00 %","0,00 %","0,00 %","11,39 %","0,00 %","0,00 %","0,00 %","25,31 %","0,00 %","0,00 %","7,59 %","0,00 %","2,53 %","0,00 %","0,00 %","16,45 %","0,00 %"
532134,Jeöetice,"2,98 %","0,00 %","0,00 %","5,97 %","0,00 %","8,95 %","8,95 %","0,00 %","0,00 %","1,49 %","0,00 %","0,00 %","10,44 %","0,00 %","1,49 %","1,49 %","28,35 %","0,00 %","0,00 %","7,46 %","0,00 %","0,00 %","0,00 %","0,00 %","22,38 %","0,00 %"
531031,Kamberk,"20,98 %","0,00 %","0,00 %","6,17 %","0,00 %","2,46 %","1,23 %","0,00 %","0,00 %","2,46 %","0,00 %","0,00 %","11,11 %","0,00 %","0,00 %","7,40 %","34,56 %","0,00 %","0,00 %","1,23 %","0,00 %","2,46 %","0,00 %","0,00 %","9,87 %","0,00 %"
529907,Keblov,"10,10 %","0,00 %","0,00 %","10,10 %","0,00 %","8,08 %","10,10 %","0,00 %","1,01 %","1,01 %","0,00 %","0,00 %","6,06 %","0,00 %","0,00 %","2,02 %","34,34 %","0,00 %","1,01 %","3,03 %","0,00 %","2,02 %","0,00 %","0,00 %","11,11 %","0,00 %"
533084,Kladruby,"7,69 %","0,00 %","0,00 %","4,94 %","0,00 %","8,24 %","9,34 %","0,54 %","0,54 %","2,19 %","0,00 %","0,00 %","13,18 %","0,00 %","0,00 %","6,04 %","25,82 %","0,00 %","0,54 %","10,43 %","0,00 %","1,09 %","0,00 %","0,00 %","8,79 %","0,54 %"
529931,Kondrac,"10,48 %","0,74 %","0,00 %","13,10 %","0,00 %","10,86 %","8,98 %","0,37 %","2,24 %","0,37 %","0,00 %","0,37 %","10,48 %","0,00 %","0,00 %","1,87 %","24,71 %","0,00 %","0,00 %","7,11 %","0,00 %","0,00 %","0,00 %","0,00 %","8,23 %","0,00 %"
529940,Kozmice,"12,35 %","0,00 %","0,00 %","7,05 %","0,00 %","3,52 %","7,64 %","1,17 %","2,94 %","1,17 %","0,00 %","0,00 %","11,17 %","0,00 %","0,00 %","6,47 %","35,29 %","0,00 %","0,58 %","2,94 %","0,00 %","0,00 %","0,00 %","0,58 %","6,47 %","0,58 %"
529958,Krhanice,"13,94 %","0,19 %","0,00 %","3,98 %","0,00 %","11,55 %","5,37 %","1,39 %","0,59 %","1,39 %","0,00 %","0,19 %","13,54 %","0,19 %","0,00 %","6,17 %","27,68 %","0,00 %","0,00 %","3,78 %","0,19 %","0,19 %","0,19 %","0,79 %","8,56 %","0,00 %"
529974,KrÚany,"15,76 %","0,41 %","0,00 %","4,14 %","0,00 %","4,97 %","8,29 %","0,82 %","0,00 %","2,48 %","0,00 %","0,41 %","11,20 %","0,00 %","0,00 %","7,88 %","28,63 %","0,00 %","0,82 %","0,41 %","0,00 %","1,65 %","0,00 %","0,41 %","11,20 %","0,41 %"
529991,K¯eËovice,"6,69 %","0,00 %","0,22 %","5,35 %","0,00 %","10,49 %","8,92 %","1,78 %","1,11 %","0,00 %","0,22 %","0,00 %","12,27 %","0,22 %","0,00 %","6,25 %","31,47 %","0,00 %","0,22 %","8,25 %","0,00 %","0,44 %","0,22 %","0,44 %","5,35 %","0,00 %"
530000,K¯ivsoudov,"7,65 %","0,00 %","0,00 %","7,20 %","0,00 %","8,55 %","4,95 %","1,80 %","0,45 %","1,35 %","0,00 %","1,35 %","18,46 %","0,00 %","0,00 %","2,25 %","29,72 %","0,00 %","0,45 %","8,10 %","0,00 %","0,00 %","0,00 %","0,00 %","7,20 %","0,45 %"
530026,KuÚovice,"8,19 %","0,00 %","0,00 %","4,91 %","0,00 %","9,83 %","4,91 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","4,91 %","0,00 %","0,00 %","3,27 %","45,90 %","0,00 %","0,00 %","11,47 %","0,00 %","0,00 %","1,63 %","0,00 %","4,91 %","0,00 %"
530051,Leöany,"10,00 %","0,00 %","0,00 %","3,51 %","0,00 %","8,37 %","10,54 %","1,62 %","0,27 %","3,51 %","0,54 %","0,27 %","10,81 %","0,00 %","0,00 %","3,51 %","28,37 %","0,00 %","0,00 %","4,32 %","0,00 %","1,08 %","0,27 %","0,27 %","11,89 %","0,81 %"
530069,Libeû,"4,67 %","1,86 %","0,00 %","9,34 %","0,00 %","2,80 %","14,01 %","0,00 %","0,00 %","1,86 %","0,00 %","0,00 %","2,80 %","0,00 %","0,00 %","0,00 %","39,25 %","0,00 %","0,00 %","7,47 %","0,00 %","0,93 %","0,93 %","0,00 %","14,01 %","0,00 %"
532258,Litichovice,"5,12 %","0,00 %","0,00 %","0,00 %","0,00 %","10,25 %","10,25 %","2,56 %","0,00 %","0,00 %","0,00 %","2,56 %","7,69 %","0,00 %","0,00 %","7,69 %","25,64 %","0,00 %","2,56 %","15,38 %","0,00 %","0,00 %","0,00 %","0,00 %","10,25 %","0,00 %"
530093,Loket,"6,85 %","0,00 %","0,00 %","8,85 %","0,00 %","4,57 %","8,00 %","0,57 %","1,14 %","1,71 %","0,00 %","0,00 %","13,14 %","0,00 %","0,00 %","5,42 %","25,14 %","0,00 %","0,00 %","12,85 %","0,00 %","0,28 %","0,00 %","0,28 %","11,14 %","0,00 %"
530107,LouÚovice pod BlanÌkem,"11,78 %","0,54 %","0,00 %","8,76 %","0,00 %","6,84 %","6,84 %","1,09 %","0,27 %","0,00 %","0,00 %","0,00 %","9,58 %","0,27 %","0,00 %","3,83 %","37,80 %","0,00 %","0,27 %","5,47 %","0,00 %","0,27 %","0,00 %","0,00 %","6,30 %","0,00 %"
532193,LötÏnÌ,"14,15 %","0,00 %","0,00 %","4,86 %","0,00 %","10,61 %","8,84 %","0,88 %","0,44 %","2,65 %","0,00 %","0,44 %","13,27 %","0,44 %","0,44 %","12,38 %","19,02 %","0,00 %","0,00 %","3,53 %","0,00 %","0,44 %","0,00 %","0,00 %","7,07 %","0,44 %"
530115,Maröovice,"6,20 %","0,00 %","0,00 %","5,48 %","0,00 %","8,35 %","10,26 %","2,62 %","0,47 %","0,95 %","0,00 %","0,00 %","13,12 %","0,00 %","0,00 %","5,48 %","31,26 %","0,00 %","0,23 %","5,72 %","0,00 %","0,71 %","0,00 %","0,47 %","8,59 %","0,00 %"
530158,Mezno,"9,95 %","0,00 %","0,00 %","8,95 %","0,00 %","9,45 %","11,94 %","0,00 %","0,49 %","5,47 %","0,00 %","0,00 %","8,95 %","0,00 %","0,00 %","1,49 %","28,35 %","0,00 %","0,00 %","4,47 %","0,00 %","1,49 %","0,99 %","0,49 %","6,96 %","0,49 %"
530166,MiliËÌn,"7,34 %","0,00 %","0,00 %","6,01 %","0,00 %","9,79 %","6,23 %","1,33 %","1,33 %","0,66 %","0,00 %","0,22 %","8,90 %","0,22 %","0,44 %","5,12 %","39,19 %","0,00 %","0,22 %","4,67 %","0,22 %","0,22 %","0,00 %","0,00 %","7,79 %","0,00 %"
530174,Mi¯etice,"18,00 %","0,00 %","0,00 %","2,00 %","0,00 %","8,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","9,00 %","0,00 %","0,00 %","4,00 %","34,00 %","0,00 %","0,00 %","7,00 %","0,00 %","2,00 %","1,00 %","0,00 %","15,00 %","0,00 %"
530191,Mnichovice,"7,01 %","0,00 %","0,00 %","7,89 %","0,00 %","4,38 %","14,03 %","2,63 %","0,87 %","0,00 %","1,75 %","0,00 %","8,77 %","0,00 %","0,00 %","0,00 %","37,71 %","0,00 %","0,00 %","9,64 %","0,00 %","0,00 %","0,00 %","0,00 %","5,26 %","0,00 %"
530204,MraË,"10,95 %","0,00 %","0,00 %","4,42 %","0,00 %","13,05 %","7,92 %","2,79 %","0,93 %","1,63 %","0,00 %","0,00 %","10,95 %","0,00 %","0,23 %","3,26 %","32,63 %","0,23 %","0,00 %","1,86 %","0,00 %","1,16 %","0,23 %","0,23 %","7,45 %","0,00 %"
530212,NaËeradec,"8,25 %","0,19 %","0,00 %","5,50 %","0,19 %","8,25 %","10,21 %","0,39 %","0,19 %","1,17 %","0,19 %","0,19 %","10,01 %","0,00 %","0,00 %","2,75 %","35,75 %","0,00 %","0,19 %","6,67 %","0,00 %","0,39 %","0,39 %","0,58 %","8,44 %","0,00 %"
530263,Nespeky,"16,75 %","0,00 %","0,00 %","6,18 %","0,00 %","6,70 %","4,89 %","1,54 %","0,25 %","0,77 %","0,00 %","0,00 %","16,23 %","0,00 %","0,25 %","8,76 %","29,89 %","0,00 %","0,00 %","2,06 %","0,00 %","0,25 %","0,00 %","0,25 %","5,15 %","0,00 %"
530298,Netvo¯ice,"11,16 %","0,17 %","0,00 %","7,32 %","0,00 %","8,02 %","10,47 %","1,04 %","0,17 %","1,74 %","0,17 %","0,00 %","10,47 %","0,00 %","0,34 %","4,01 %","32,98 %","0,17 %","0,17 %","1,39 %","0,00 %","0,00 %","0,00 %","0,69 %","9,24 %","0,17 %"
530301,Neustupov,"1,90 %","0,00 %","0,00 %","9,88 %","0,00 %","9,12 %","7,98 %","1,14 %","1,52 %","4,18 %","0,00 %","0,00 %","5,70 %","0,76 %","0,00 %","4,18 %","37,26 %","0,00 %","0,00 %","3,42 %","0,00 %","0,76 %","0,38 %","0,00 %","11,78 %","0,00 %"
530310,Neveklov,"12,56 %","0,16 %","0,00 %","6,65 %","0,08 %","6,23 %","6,73 %","1,72 %","0,65 %","1,47 %","0,24 %","0,24 %","12,06 %","0,08 %","0,16 %","6,81 %","30,87 %","0,08 %","0,32 %","3,20 %","0,08 %","0,08 %","0,16 %","0,49 %","8,70 %","0,08 %"
530344,Olbramovice,"6,66 %","0,00 %","0,15 %","6,21 %","0,00 %","8,63 %","9,24 %","1,36 %","0,45 %","0,15 %","0,00 %","0,00 %","7,42 %","0,60 %","0,00 %","4,24 %","43,18 %","0,15 %","0,00 %","3,03 %","0,00 %","1,06 %","0,30 %","0,15 %","6,51 %","0,45 %"
599395,Ostrov,"6,66 %","0,00 %","0,00 %","0,00 %","0,00 %","10,00 %","13,33 %","0,00 %","0,00 %","0,00 %","0,00 %","3,33 %","16,66 %","0,00 %","0,00 %","0,00 %","33,33 %","0,00 %","0,00 %","3,33 %","0,00 %","3,33 %","0,00 %","0,00 %","10,00 %","0,00 %"
530352,Ost¯edek,"8,78 %","0,00 %","0,00 %","7,31 %","0,00 %","8,78 %","2,92 %","0,97 %","3,90 %","1,46 %","0,48 %","0,00 %","12,19 %","0,00 %","0,48 %","5,85 %","36,58 %","0,00 %","0,00 %","5,85 %","0,00 %","0,00 %","0,00 %","0,00 %","4,39 %","0,00 %"
533076,Pavlovice,"3,36 %","1,68 %","0,00 %","10,92 %","0,00 %","5,04 %","12,60 %","1,68 %","3,36 %","1,68 %","0,00 %","0,00 %","5,04 %","0,00 %","0,00 %","3,36 %","31,09 %","0,00 %","0,84 %","8,40 %","0,00 %","0,00 %","0,00 %","0,00 %","10,92 %","0,00 %"
530409,Petroupim,"13,04 %","1,24 %","0,00 %","8,07 %","0,00 %","13,66 %","3,72 %","1,86 %","1,24 %","0,00 %","0,62 %","0,00 %","8,07 %","0,00 %","0,00 %","3,10 %","37,88 %","0,00 %","1,86 %","1,24 %","0,00 %","0,62 %","0,00 %","0,00 %","3,72 %","0,00 %"
532649,Popovice,"8,38 %","0,00 %","0,00 %","9,67 %","0,00 %","6,45 %","11,61 %","1,29 %","0,64 %","0,64 %","0,00 %","0,00 %","10,32 %","0,00 %","0,64 %","1,93 %","32,90 %","0,00 %","0,00 %","3,22 %","0,00 %","0,00 %","0,00 %","0,00 %","12,25 %","0,00 %"
